#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
19	2.18	6.1079705e+46	5.4060371e+46	1.2441516e+46	1.2167581e+46	1.3315376e+47	1.1785161e+47	2.7122505e+46	2.6525326e+46
19	2.2	5.5255792e+46	4.8984255e+46	1.1262083e+46	1.1017331e+46	1.2156274e+47	1.0776536e+47	2.4776583e+46	2.4238129e+46
19	2.22	4.9826487e+46	4.4356222e+46	1.0171661e+46	9.9581799e+45	1.106148e+47	9.8470814e+46	2.2581088e+46	2.2107159e+46
19	2.24	4.5030961e+46	4.0096028e+46	9.1934677e+45	9.000878e+45	1.0086935e+47	8.9815103e+46	2.0593368e+46	2.0161967e+46
19	2.26	4.0554213e+46	3.6174728e+46	8.2851642e+45	8.1142513e+45	9.1652521e+46	8.1754886e+46	1.8724471e+46	1.8338208e+46
19	2.28	3.6478796e+46	3.2628596e+46	7.4603526e+45	7.3100955e+45	8.3171655e+46	7.4393199e+46	1.7009604e+46	1.6667018e+46
19	2.3	3.2765393e+46	2.9376776e+46	6.7070009e+45	6.5747574e+45	7.5360403e+46	6.7566586e+46	1.5426102e+46	1.5121942e+46
19	2.32	2.9380771e+46	2.6412021e+46	6.0202761e+45	5.9044182e+45	6.8163388e+46	6.1275889e+46	1.3967041e+46	1.369825e+46
19	2.34	2.6333933e+46	2.3753599e+46	5.4029994e+45	5.3022997e+45	6.1621404e+46	5.5583422e+46	1.2643019e+46	1.2407381e+46
19	2.36	2.353989e+46	2.1313664e+46	4.8367557e+45	4.7498755e+45	5.555414e+46	5.0300247e+46	1.1414744e+46	1.1209706e+46
19	2.38	2.1021845e+46	1.9090203e+46	4.3243022e+45	4.2489184e+45	5.0031991e+46	4.5434683e+46	1.0291839e+46	1.0112426e+46
19	2.4	1.871896e+46	1.7063125e+46	3.8561951e+45	3.7915748e+45	4.4925504e+46	4.0951501e+46	9.2548683e+45	9.0997796e+45
